sensorMov,hora,dia,dia_semana,sensorLDR,lamp
0,00:59:18,21-09-18,5,746,lamp
0,00:59:18,21-09-18,5,748,lamp
0,00:59:19,21-09-18,5,745,lamp
0,00:59:19,21-09-18,5,744,lamp
0,00:59:20,21-09-18,5,747,lamp
0,00:59:20,21-09-18,5,746,lamp
0,00:59:21,21-09-18,5,746,lamp
0,00:59:21,21-09-18,5,741,lamp
0,00:59:22,21-09-18,5,745,lamp
0,00:59:22,21-09-18,5,748,lamp
0,00:59:23,21-09-18,5,747,lamp
0,00:59:23,21-09-18,5,744,lamp
0,00:59:24,21-09-18,5,742,lamp
0,00:59:24,21-09-18,5,747,lamp
0,00:59:25,21-09-18,5,749,lamp
0,00:59:25,21-09-18,5,745,lamp
0,00:59:26,21-09-18,5,742,lamp
0,00:59:26,21-09-18,5,743,lamp
0,00:59:27,21-09-18,5,748,lamp
0,00:59:27,21-09-18,5,746,lamp
0,00:59:28,21-09-18,5,744,lamp
0,00:59:28,21-09-18,5,744,lamp
0,00:59:29,21-09-18,5,746,lamp
0,00:59:29,21-09-18,5,748,lamp
0,00:59:30,21-09-18,5,745,lamp
0,00:59:30,21-09-18,5,744,lamp
0,00:59:31,21-09-18,5,746,lamp
0,00:59:31,21-09-18,5,748,lamp
0,00:59:32,21-09-18,5,749,lamp
0,00:59:33,21-09-18,5,745,lamp
0,00:59:33,21-09-18,5,744,lamp
0,00:59:34,21-09-18,5,746,lamp
0,00:59:34,21-09-18,5,745,lamp
0,00:59:34,21-09-18,5,748,lamp
0,00:59:35,21-09-18,5,747,lamp
0,00:59:36,21-09-18,5,743,lamp
0,00:59:36,21-09-18,5,742,lamp
0,00:59:37,21-09-18,5,743,lamp
0,00:59:37,21-09-18,5,749,lamp
0,00:59:38,21-09-18,5,748,lamp
0,00:59:38,21-09-18,5,744,lamp
0,00:59:39,21-09-18,5,741,lamp
0,00:59:39,21-09-18,5,744,lamp
0,00:59:40,21-09-18,5,747,lamp
0,00:59:40,21-09-18,5,747,lamp
0,00:59:41,21-09-18,5,748,lamp
0,00:59:41,21-09-18,5,742,lamp
0,00:59:42,21-09-18,5,741,lamp
0,00:59:42,21-09-18,5,744,lamp
0,00:59:43,21-09-18,5,748,lamp
0,00:59:43,21-09-18,5,748,lamp
0,00:59:44,21-09-18,5,743,lamp
0,00:59:44,21-09-18,5,742,lamp
0,00:59:45,21-09-18,5,743,lamp
0,00:59:45,21-09-18,5,746,lamp
1,00:59:46,21-09-18,5,748,lamp
1,00:59:46,21-09-18,5,746,lamp
0,00:59:47,21-09-18,5,743,lamp
0,00:59:47,21-09-18,5,740,lamp
0,00:59:48,21-09-18,5,744,lamp
0,00:59:48,21-09-18,5,747,lamp
0,00:59:49,21-09-18,5,744,lamp
0,00:59:49,21-09-18,5,745,lamp
0,00:59:50,21-09-18,5,742,lamp
0,00:59:50,21-09-18,5,740,lamp
0,00:59:51,21-09-18,5,746,lamp
0,00:59:51,21-09-18,5,746,lamp
0,00:59:52,21-09-18,5,748,lamp
0,00:59:52,21-09-18,5,743,lamp
0,00:59:53,21-09-18,5,741,lamp
0,00:59:53,21-09-18,5,744,lamp
0,00:59:54,21-09-18,5,747,lamp
0,00:59:54,21-09-18,5,750,lamp
0,00:59:55,21-09-18,5,744,lamp
0,00:59:55,21-09-18,5,742,lamp
0,00:59:56,21-09-18,5,742,lamp
0,00:59:56,21-09-18,5,747,lamp
0,00:59:57,21-09-18,5,747,lamp
0,00:59:57,21-09-18,5,747,lamp
0,00:59:58,21-09-18,5,744,lamp
0,00:59:58,21-09-18,5,744,lamp
0,00:59:59,21-09-18,5,746,lamp
0,00:59:59,21-09-18,5,747,lamp
0,01:00:00,21-09-18,5,748,lamp
0,01:00:00,21-09-18,5,746,lamp
